County,ZIP Code
Howard,46902
Howard,46919
Howard,46929
Howard,46932
Howard,46936
Howard,46979
Huntington,46702
Huntington,46750
Huntington,46770
Huntington,46783
Huntington,46792
Huntington,46940
Huntington,46952
Huntington,46991
Jackson,47102
Jackson,47220
Jackson,47229
Jackson,47235
Jackson,47260
Jackson,47264
Jackson,47274
Jackson,47281
Jasper,46310
Jasper,46341
Jasper,46374
Jasper,46392
Jasper,47922
Jasper,47943
Jasper,47946
Jasper,47948
Jasper,47957
Jasper,47959
Jasper,47977
Jasper,47978
Jasper,47995
Jay,46740
Jay,47326
Jay,47336
Jay,47359
Jay,47369
Jay,47371
Jay,47373
Jay,47380
Jay,47381
Jay,47390
Jefferson,47043
Jefferson,47138
Jefferson,47147
Jefferson,47224
Jefferson,47227
Jefferson,47230
Jefferson,47231
Jefferson,47243
Jefferson,47250
Jefferson,47270
Jennings,47223
Jennings,47227
Jennings,47229
Jennings,47230
Jennings,47231
Jennings,47232
Jennings,47265
Jennings,47270
Jennings,47273
Jennings,47274
Jennings,47282
Jennings,47283
Johnson,46106
Johnson,46124
Johnson,46131
Johnson,46142
Johnson,46143
Johnson,46151
Johnson,46160
Johnson,46162
Johnson,46164
Johnson,46181
Johnson,46184
Johnson,46259
Knox,47512
Knox,47516
Knox,47524
Knox,47528
Knox,47557
Knox,47561
Knox,47578
Knox,47591
Knox,47597
Kosciusko,46504
Kosciusko,46506
Kosciusko,46508
Kosciusko,46510
Kosciusko,46524
Kosciusko,46538
Kosciusko,46539
Kosciusko,46542
Kosciusko,46550
Kosciusko,46555
Kosciusko,46562
Kosciusko,46567
Kosciusko,46580
Kosciusko,46582
Kosciusko,46590
Kosciusko,46732
Kosciusko,46787
Kosciusko,46910
Kosciusko,46962
Kosciusko,46982
LaGrange,46540
LaGrange,46543
LaGrange,46565
LaGrange,46571
LaGrange,46746
LaGrange,46747
LaGrange,46761
LaGrange,46767
LaGrange,46776
LaGrange,46795
Lake,46303
Lake,46307
Lake,46311
Lake,46312
Lake,46319
Lake,46320
Lake,46321
Lake,46322
Lake,46323
Lake,46324
Lake,46327
Lake,46341
Lake,46342
Lake,46356
Lake,46373
Lake,46375
Lake,46394
Lake,46402
Lake,46403
Lake,46404
Lake,46405
Lake,46406
Lake,46407
Lake,46408
Lake,46409
Lake,46410
LaPorte,46340
LaPorte,46348
LaPorte,46350
LaPorte,46360
LaPorte,46365
LaPorte,46371
LaPorte,46382
LaPorte,46390
LaPorte,46391
LaPorte,46532
LaPorte,46534
LaPorte,46552
LaPorte,46554
LaPorte,46574
Lawrence,47264
Lawrence,47421
Lawrence,47436
Lawrence,47446
Lawrence,47451
Lawrence,47462
Lawrence,47470
Madison,46001
Madison,46011
Madison,46012
Madison,46013
Madison,46016
Madison,46017
Madison,46036
Madison,46040
Madison,46044
Madison,46048
Madison,46051
Madison,46056
Madison,46064
Madison,46070
Madison,47356
Marion,46077
Marion,46107
Marion,46113
Marion,46201
Marion,46202
Marion,46203
Marion,46204
Marion,46205
Marion,46208
Marion,46214
Marion,46216
Marion,46217
Marion,46218
Marion,46219
Marion,46220
Marion,46221
Marion,46222
Marion,46224
Marion,46225
Marion,46226
Marion,46227
Marion,46228
Marion,46229
Marion,46231
Marion,46234
Marion,46235
Marion,46236
Marion,46237
Marion,46239
Marion,46240
Marion,46241
Marion,46250
Marion,46254
Marion,46256
Marion,46259
Marion,46260
Marion,46268
Marion,46278
Marshall,46501
Marshall,46504
Marshall,46506
Marshall,46511
Marshall,46524
Marshall,46536
Marshall,46550
Marshall,46563
Marshall,46570
Marshall,46574
Martin,47470
Martin,47522
Martin,47553
Martin,47581
Miami,46901
Miami,46910
Miami,46911
Miami,46914
Miami,46919
Miami,46926
Miami,46932
Miami,46951
Miami,46970
Miami,46974
Monroe,46151
Monroe,47264
Monroe,47401
Monroe,47403
Monroe,47404
Monroe,47405
Monroe,47406
Monroe,47408
Monroe,47421
